time	V(c)
0.000000000000000e+000	6.759906e-005
6.428571428569929e-006	4.557396e-004
1.285714285713986e-005	8.384817e-004
1.928571428570979e-005	1.215825e-003
2.571428571427972e-005	1.587771e-003
3.214285714284965e-005	1.954318e-003
3.857142857141958e-005	2.315466e-003
4.499999999998949e-005	2.671217e-003
6.499999999998174e-005	3.726187e-003
8.499999999997399e-005	4.700670e-003
1.049999999999662e-004	5.585007e-003
1.249999999999585e-004	6.371110e-003
1.449999999999507e-004	7.052300e-003
1.649999999999430e-004	7.623170e-003
1.849999999999352e-004	8.079451e-003
2.049999999999275e-004	8.417923e-003
2.249999999999197e-004	8.636297e-003
2.449999999999120e-004	8.733071e-003
2.649999999999042e-004	8.707376e-003
2.849999999998965e-004	8.559039e-003
3.049999999998887e-004	8.288864e-003
3.249999999998809e-004	7.898702e-003
3.449999999998732e-004	7.391384e-003
3.649999999998654e-004	6.770710e-003
3.849999999998577e-004	6.041527e-003
4.049999999998499e-004	5.209860e-003
4.249999999998422e-004	4.283053e-003
4.449999999998344e-004	3.269932e-003
4.649999999998267e-004	2.180969e-003
4.849999999998189e-004	1.028453e-003
5.049999999998112e-004	-1.733640e-004
5.249999999998034e-004	-1.408149e-003
5.449999999997957e-004	-2.657440e-003
5.649999999997879e-004	-3.900696e-003
5.849999999997801e-004	-5.115470e-003
6.049999999997724e-004	-6.277771e-003
6.249999999997646e-004	-7.362600e-003
6.449999999997569e-004	-8.344723e-003
6.649999999997491e-004	-9.199615e-003
6.849999999997414e-004	-9.904576e-003
7.049999999997336e-004	-1.043990e-002
7.249999999997259e-004	-1.079003e-002
7.449999999997181e-004	-1.094449e-002
7.649999999997104e-004	-1.089863e-002
7.849999999997026e-004	-1.065389e-002
8.049999999996949e-004	-1.021771e-002
8.249999999996871e-004	-9.603072e-003
8.449999999996793e-004	-8.827597e-003
8.649999999996716e-004	-7.912520e-003
8.849999999996638e-004	-6.881510e-003
9.049999999996561e-004	-5.759512e-003
9.249999999996483e-004	-4.571709e-003
9.449999999996406e-004	-3.342657e-003
9.649999999996328e-004	-2.095625e-003
9.849999999996251e-004	-8.521474e-004
1.004999999999617e-003	3.682442e-004
1.024999999999610e-003	1.548131e-003
1.044999999999602e-003	2.672204e-003
1.064999999999594e-003	3.727179e-003
1.084999999999586e-003	4.701666e-003
1.104999999999579e-003	5.586007e-003
1.124999999999571e-003	6.372113e-003
1.144999999999563e-003	7.053306e-003
1.164999999999555e-003	7.624177e-003
1.184999999999548e-003	8.080460e-003
1.204999999999540e-003	8.418933e-003
1.224999999999532e-003	8.637308e-003
1.244999999999524e-003	8.734083e-003
1.264999999999517e-003	8.708387e-003
1.284999999999509e-003	8.560050e-003
1.304999999999501e-003	8.289874e-003
1.324999999999493e-003	7.899710e-003
1.344999999999486e-003	7.392390e-003
1.364999999999478e-003	6.771713e-003
1.384999999999470e-003	6.042528e-003
1.404999999999462e-003	5.210857e-003
1.424999999999455e-003	4.284047e-003
1.444999999999447e-003	3.270921e-003
1.464999999999439e-003	2.181953e-003
1.484999999999431e-003	1.029431e-003
1.504999999999424e-003	-1.723911e-004
1.524999999999416e-003	-1.407182e-003
1.544999999999408e-003	-2.656480e-003
1.564999999999400e-003	-3.899741e-003
1.584999999999393e-003	-5.114523e-003
1.604999999999385e-003	-6.276829e-003
1.624999999999377e-003	-7.361664e-003
1.644999999999369e-003	-8.343793e-003
1.664999999999361e-003	-9.198690e-003
1.684999999999354e-003	-9.903655e-003
1.704999999999346e-003	-1.043899e-002
1.724999999999338e-003	-1.078912e-002
1.744999999999330e-003	-1.094358e-002
1.764999999999323e-003	-1.089772e-002
1.784999999999315e-003	-1.065297e-002
1.804999999999307e-003	-1.021679e-002
1.824999999999299e-003	-9.602150e-003
1.844999999999292e-003	-8.826670e-003
1.864999999999284e-003	-7.911588e-003
