time	V(n002)
0.000000000000000e+000	8.905629e-005
3.571428571428179e-006	-7.842798e-003
7.142857142856358e-006	-1.575962e-002
1.071428571428454e-005	-2.366141e-002
1.428571428571272e-005	-3.154817e-002
1.785714285714090e-005	-3.941989e-002
2.142857142856907e-005	-4.727658e-002
2.499999999999725e-005	-5.511824e-002
4.499999999998949e-005	-9.834772e-002
6.499999999998174e-005	-1.399916e-001
8.499999999997399e-005	-1.793857e-001
1.049999999999662e-004	-2.159070e-001
1.249999999999585e-004	-2.489825e-001
1.449999999999507e-004	-2.780979e-001
1.649999999999430e-004	-3.028043e-001
1.849999999999352e-004	-3.227235e-001
2.049999999999275e-004	-3.375525e-001
2.249999999999197e-004	-3.470668e-001
2.449999999999120e-004	-3.511229e-001
2.649999999999042e-004	-3.496593e-001
2.849999999998965e-004	-3.426979e-001
3.049999999998887e-004	-3.303430e-001
3.249999999998809e-004	-3.127811e-001
3.449999999998732e-004	-2.902784e-001
3.649999999998654e-004	-2.631783e-001
3.849999999998577e-004	-2.318974e-001
4.049999999998499e-004	-1.969205e-001
4.249999999998422e-004	-1.587941e-001
4.449999999998344e-004	-1.181193e-001
4.649999999998267e-004	-7.554282e-002
4.849999999998189e-004	-3.174620e-002
5.049999999998112e-004	1.256514e-002
5.249999999998034e-004	5.667488e-002
5.449999999997957e-004	9.986921e-002
5.649999999997879e-004	1.414506e-001
5.849999999997801e-004	1.807517e-001
6.049999999997724e-004	2.171478e-001
6.249999999997646e-004	2.500686e-001
6.449999999997569e-004	2.790072e-001
6.649999999997491e-004	3.035274e-001
6.849999999997414e-004	3.232677e-001
7.049999999997336e-004	3.379437e-001
7.249999999997259e-004	3.473482e-001
7.449999999997181e-004	3.513506e-001
7.649999999997104e-004	3.498961e-001
7.849999999997026e-004	3.430050e-001
8.049999999996949e-004	3.307727e-001
8.249999999996871e-004	3.133708e-001
8.449999999996793e-004	2.910478e-001
8.649999999996716e-004	2.641291e-001
8.849999999996638e-004	2.330163e-001
9.049999999996561e-004	1.981838e-001
9.249999999996483e-004	1.601727e-001
9.449999999996406e-004	1.195835e-001
9.649999999996328e-004	7.706459e-002
9.849999999996251e-004	3.330098e-002
1.004999999999617e-003	-1.099967e-002
1.024999999999610e-003	-5.512069e-002
1.044999999999602e-003	-9.835016e-002
1.064999999999594e-003	-1.399940e-001
1.084999999999586e-003	-1.793882e-001
1.104999999999579e-003	-2.159094e-001
1.124999999999571e-003	-2.489849e-001
1.144999999999563e-003	-2.781004e-001
1.164999999999555e-003	-3.028068e-001
1.184999999999548e-003	-3.227260e-001
1.204999999999540e-003	-3.375550e-001
1.224999999999532e-003	-3.470693e-001
1.244999999999524e-003	-3.511254e-001
1.264999999999517e-003	-3.496618e-001
1.284999999999509e-003	-3.427004e-001
1.304999999999501e-003	-3.303455e-001
