time	V(vout)
0.000000000000000e+000	1.258353e+000
1.214285714285343e-005	1.253887e+000
2.428571428570686e-005	1.249509e+000
3.642857142856029e-005	1.245219e+000
4.857142857141372e-005	1.241016e+000
6.071428571426716e-005	1.236901e+000
7.285714285712058e-005	1.232873e+000
8.499999999997399e-005	1.228933e+000
1.149999999999624e-004	1.220129e+000
1.349999999999546e-004	1.214993e+000
1.549999999999469e-004	1.210540e+000
1.749999999999391e-004	1.206840e+000
1.949999999999313e-004	1.203950e+000
2.149999999999236e-004	1.201917e+000
2.349999999999158e-004	1.200772e+000
2.549999999999081e-004	1.200534e+000
2.749999999999003e-004	1.201205e+000
2.949999999998926e-004	1.202776e+000
3.149999999998848e-004	1.205223e+000
3.349999999998771e-004	1.208505e+000
3.549999999998693e-004	1.212572e+000
3.749999999998616e-004	1.217360e+000
4.049999999998499e-004	1.225726e+000
4.349999999998383e-004	1.235246e+000
4.649999999998267e-004	1.245582e+000
4.764285714283937e-004	1.249712e+000
4.878571428569607e-004	1.253834e+000
4.992857142855277e-004	1.257947e+000
5.107142857140946e-004	1.262051e+000
5.221428571426617e-004	1.266146e+000
5.335714285712287e-004	1.270233e+000
5.449999999997957e-004	1.274311e+000
5.749999999997840e-004	1.284432e+000
6.049999999997724e-004	1.293627e+000
6.349999999997608e-004	1.301569e+000
6.549999999997530e-004	1.306028e+000
6.749999999997453e-004	1.309733e+000
6.949999999997375e-004	1.312626e+000
7.149999999997297e-004	1.314662e+000
7.349999999997220e-004	1.315808e+000
7.549999999997142e-004	1.316046e+000
7.749999999997065e-004	1.315373e+000
7.949999999996987e-004	1.313800e+000
8.149999999996910e-004	1.311350e+000
8.349999999996832e-004	1.308063e+000
8.549999999996755e-004	1.303990e+000
8.749999999996677e-004	1.299197e+000
9.049999999996561e-004	1.290823e+000
9.349999999996445e-004	1.281297e+000
9.649999999996328e-004	1.270957e+000
9.764285714281998e-004	1.266826e+000
9.878571428567668e-004	1.262704e+000
9.992857142853339e-004	1.258591e+000
1.010714285713901e-003	1.254487e+000
1.022142857142468e-003	1.250392e+000
1.033571428571035e-003	1.246307e+000
1.044999999999602e-003	1.242230e+000
