time	V(vout)
0.000000000000000e+000	1.260630e+000
6.428571428569929e-006	1.232533e+000
1.285714285713986e-005	1.204605e+000
1.928571428570979e-005	1.176847e+000
2.571428571427972e-005	1.149257e+000
3.214285714284965e-005	1.121836e+000
3.857142857141958e-005	1.094584e+000
4.499999999998949e-005	1.067501e+000
6.499999999998174e-005	9.859125e-001
8.499999999997399e-005	9.087900e-001
1.049999999999662e-004	8.373343e-001
1.249999999999585e-004	7.726446e-001
1.449999999999507e-004	7.157028e-001
1.649999999999430e-004	6.673622e-001
1.849999999999352e-004	6.283371e-001
2.049999999999275e-004	5.991962e-001
2.249999999999197e-004	5.803587e-001
2.449999999999120e-004	5.720991e-001
2.649999999999042e-004	5.745554e-001
2.849999999998965e-004	5.877196e-001
3.049999999998887e-004	6.114150e-001
3.249999999998809e-004	6.452927e-001
3.449999999998732e-004	6.888453e-001
3.649999999998654e-004	7.414196e-001
3.849999999998577e-004	8.022230e-001
4.049999999998499e-004	8.703321e-001
4.249999999998422e-004	9.447017e-001
4.449999999998344e-004	1.024178e+000
4.649999999998267e-004	1.107512e+000
4.849999999998189e-004	1.193383e+000
5.049999999998112e-004	1.280414e+000
5.249999999998034e-004	1.367199e+000
5.449999999997957e-004	1.452331e+000
5.649999999997879e-004	1.534425e+000
5.849999999997801e-004	1.612150e+000
6.049999999997724e-004	1.684252e+000
6.249999999997646e-004	1.749581e+000
6.449999999997569e-004	1.807109e+000
6.649999999997491e-004	1.855948e+000
6.849999999997414e-004	1.895357e+000
7.049999999997336e-004	1.924751e+000
7.249999999997259e-004	1.943700e+000
7.449999999997181e-004	1.951934e+000
7.649999999997104e-004	1.949334e+000
7.849999999997026e-004	1.935939e+000
8.049999999996949e-004	1.911939e+000
8.249999999996871e-004	1.877684e+000
8.449999999996793e-004	1.833678e+000
8.649999999996716e-004	1.780582e+000
8.849999999996638e-004	1.719209e+000
9.049999999996561e-004	1.650516e+000
9.249999999996483e-004	1.575594e+000
9.449999999996406e-004	1.495644e+000
9.649999999996328e-004	1.411962e+000
9.849999999996251e-004	1.325906e+000
1.004999999999617e-003	1.238876e+000
1.024999999999610e-003	1.152281e+000
1.044999999999602e-003	1.067514e+000
1.064999999999594e-003	9.859259e-001
1.084999999999586e-003	9.088033e-001
1.104999999999579e-003	8.373477e-001
1.124999999999571e-003	7.726579e-001
1.144999999999563e-003	7.157161e-001
1.164999999999555e-003	6.673754e-001
1.184999999999548e-003	6.283503e-001
1.204999999999540e-003	5.992094e-001
1.224999999999532e-003	5.803719e-001
1.244999999999524e-003	5.721123e-001
1.264999999999517e-003	5.745686e-001
1.284999999999509e-003	5.877328e-001
1.304999999999501e-003	6.114283e-001
1.324999999999493e-003	6.453059e-001
1.344999999999486e-003	6.888586e-001
1.364999999999478e-003	7.414328e-001
1.384999999999470e-003	8.022363e-001
1.404999999999462e-003	8.703454e-001
1.424999999999455e-003	9.447151e-001
1.444999999999447e-003	1.024191e+000
1.464999999999439e-003	1.107526e+000
1.484999999999431e-003	1.193396e+000
1.504999999999424e-003	1.280427e+000
1.524999999999416e-003	1.367213e+000
1.544999999999408e-003	1.452345e+000
1.564999999999400e-003	1.534439e+000
1.584999999999393e-003	1.612163e+000
1.604999999999385e-003	1.684265e+000
1.624999999999377e-003	1.749594e+000
1.644999999999369e-003	1.807122e+000
1.664999999999361e-003	1.855961e+000
1.684999999999354e-003	1.895370e+000
1.704999999999346e-003	1.924764e+000
1.724999999999338e-003	1.943714e+000
1.744999999999330e-003	1.951947e+000
1.764999999999323e-003	1.949347e+000
1.784999999999315e-003	1.935952e+000
1.804999999999307e-003	1.911953e+000
1.824999999999299e-003	1.877697e+000
1.844999999999292e-003	1.833691e+000
1.864999999999284e-003	1.780595e+000
1.884999999999276e-003	1.719222e+000
1.904999999999268e-003	1.650530e+000
1.924999999999261e-003	1.575607e+000
1.944999999999253e-003	1.495658e+000
1.964999999999245e-003	1.411975e+000
1.984999999999237e-003	1.325920e+000
2.004999999999230e-003	1.238889e+000
2.024999999999222e-003	1.152294e+000
2.044999999999214e-003	1.067527e+000
2.064999999999206e-003	9.859393e-001
2.084999999999199e-003	9.088166e-001
2.104999999999191e-003	8.373609e-001
2.124999999999183e-003	7.726711e-001
2.144999999999175e-003	7.157293e-001
2.164999999999168e-003	6.673886e-001
2.184999999999160e-003	6.283635e-001
2.204999999999152e-003	5.992225e-001
2.224999999999144e-003	5.803851e-001
2.244999999999137e-003	5.721255e-001
2.264999999999129e-003	5.745817e-001
2.284999999999121e-003	5.877460e-001
2.304999999999113e-003	6.114415e-001
2.324999999999106e-003	6.453192e-001
2.344999999999098e-003	6.888718e-001
2.364999999999090e-003	7.414461e-001
2.384999999999082e-003	8.022496e-001
2.404999999999075e-003	8.703588e-001
2.424999999999067e-003	9.447284e-001
2.444999999999059e-003	1.024204e+000
2.464999999999051e-003	1.107539e+000
2.484999999999044e-003	1.193410e+000
